ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
77,114,1,2025-08-02,1,3,53,1162,7,145,1,0
78,115,1,2025-04-10,1,11,241,4617,25,147,1,0
79,116,2,2025-05-18,1,5,117,2642,11,150,1,0
80,117,1,2025-05-16,1,23,468,9250,55,151,1,1
81,118,1,2025-02-11,1,5,105,2404,13,152,1,0
82,119,1,2025-07-24,1,1,22,502,2,153,1,0
83,121,1,2025-10-24,1,7,160,3329,17,155,1,0
84,124,1,2025-05-22,1,26,516,10134,61,156,1,0
85,125,1,2025-06-18,1,28,563,10851,66,160,1,0
86,126,1,2026-01-09,1,3,69,1356,6,162,1,1
87,128,1,2025-04-17,1,5,107,2230,11,163,1,0
88,129,1,2025-04-24,1,29,575,11067,67,164,1,0
89,130,1,2025-08-29,1,19,384,7340,46,165,1,0
90,132,1,2026-01-22,1,30,595,11404,70,167,1,0
91,133,1,2025-08-01,1,23,462,9253,55,169,1,0
92,134,1,2025-06-26,1,26,514,10204,61,171,1,0
93,136,1,2025-05-17,1,15,313,6230,36,173,1,0
94,138,1,2026-01-30,1,30,590,11491,70,176,1,0
95,138,1,2026-01-28,1,30,590,11386,69,175,1,1
96,139,1,2025-08-28,1,10,207,4249,23,177,1,0
97,141,1,2025-07-28,1,17,351,6690,42,182,1,0
98,142,1,2025-08-19,1,3,56,1634,6,183,1,0
99,143,1,2025-03-22,1,5,118,2551,13,184,1,0
100,144,2,2025-07-31,1,5,124,2642,12,185,1,0
101,145,1,2025-11-30,1,23,465,9232,55,186,1,0
102,147,1,2025-07-12,1,5,119,2473,13,187,1,0
103,148,1,2025-09-19,1,5,118,2474,12,189,1,0
104,150,1,2025-11-15,1,26,514,10047,62,193,1,0
105,151,2,2025-03-09,1,10,212,4132,23,194,1,0
106,152,2,2025-07-03,1,25,499,9709,60,195,1,0
107,152,1,2025-06-02,1,25,499,9737,60,196,1,0
108,153,1,2025-03-23,1,7,164,3304,18,197,1,0
109,154,2,2025-07-30,1,11,227,4942,26,199,1,0
110,158,1,2025-10-28,1,15,309,6100,36,205,1,0
111,159,1,2025-10-20,1,5,115,2405,13,206,1,0
112,161,1,2025-05-31,1,6,144,2885,15,210,1,0
113,163,1,2025-10-22,1,19,386,7643,46,212,1,0
114,164,1,2025-10-28,1,25,507,9902,60,214,1,0
115,166,1,2025-05-02,1,5,104,2202,13,215,1,0
116,167,1,2025-11-09,1,7,161,3283,17,216,1,0
117,168,2,2025-02-27,1,5,109,2283,12,217,1,0
118,169,1,2025-05-08,1,5,106,2431,14,219,1,0
119,170,1,2025-12-26,1,5,118,2642,11,220,1,0
120,171,1,2025-09-28,1,26,523,10068,61,221,1,0
121,172,2,2025-09-20,1,25,498,9878,59,224,1,0
122,173,1,2025-05-15,1,23,462,9298,55,225,1,0
123,175,1,2025-09-25,1,4,87,1787,9,226,1,0
124,176,1,2025-10-16,1,5,111,2522,11,227,1,0
125,179,1,2025-12-05,1,17,341,6754,39,235,1,0
126,180,2,2025-05-30,1,6,146,3049,16,236,1,0
127,181,1,2025-04-10,1,13,276,5663,32,238,1,0
128,182,2,2025-05-27,1,25,507,9671,59,240,1,0
129,182,1,2025-04-20,1,25,507,9949,59,241,1,0
130,183,1,2025-03-04,1,5,117,2594,12,242,1,0
131,184,1,2025-09-13,1,5,113,2473,14,243,1,0
132,185,2,2025-05-23,1,24,477,9627,58,244,1,0
133,187,1,2025-06-23,1,28,551,10851,65,246,1,0
134,188,1,2025-12-25,1,5,121,2404,11,247,1,0
135,189,2,2025-01-19,1,2,35,1062,3,248,1,0
136,191,1,2025-02-21,1,3,68,1712,6,249,1,0
137,193,2,2025-07-11,1,3,56,1461,8,251,1,0
138,194,2,2025-02-09,1,3,54,1504,5,253,1,0
139,198,1,2025-11-28,1,22,456,8790,52,256,1,0
140,199,2,2025-04-16,1,8,170,3602,20,257,1,0
141,200,1,2025-04-21,1,21,422,8369,50,258,1,0
142,201,2,2025-02-28,1,5,116,2667,13,259,1,0
143,202,2,2025-03-31,1,5,103,2615,12,261,1,0
144,204,2,2025-01-27,1,25,498,9760,59,262,1,0
145,207,1,2025-09-27,1,5,105,2183,11,267,1,0
146,208,1,2025-07-22,1,11,241,4994,26,268,1,0
147,209,1,2025-04-21,1,19,378,7547,46,270,1,0
148,210,1,2025-04-02,1,10,216,4160,23,271,1,0
149,211,1,2025-05-07,1,16,324,6569,37,272,1,0
150,212,1,2025-03-13,1,11,223,4495,28,273,1,0
151,214,1,2025-04-27,1,15,309,6383,35,276,1,0
152,216,1,2025-02-08,1,5,120,2338,11,281,1,0
153,220,2,2026-01-04,1,5,107,2358,14,284,1,0
154,222,1,2025-04-01,1,19,387,7547,45,287,1,0
155,223,1,2025-05-30,1,5,105,2310,12,289,1,0
156,226,1,2025-05-16,1,5,121,2571,12,292,1,0
157,229,1,2025-02-14,1,25,498,9780,60,294,1,0
158,230,1,2025-06-20,1,13,274,5691,31,295,1,0
159,231,1,2025-01-18,1,3,55,1763,6,296,1,0
160,237,1,2025-11-13,1,17,341,6809,41,302,1,0
161,237,1,2025-12-10,1,17,341,6865,40,303,1,0
162,238,1,2025-05-06,1,19,378,7493,45,305,1,0
163,239,2,2025-03-24,1,2,44,890,3,306,1,0
164,240,1,2025-09-15,1,26,514,10089,61,307,1,0
165,241,1,2025-11-06,1,4,92,1816,9,308,1,0
166,242,1,2025-02-12,1,25,502,9878,60,309,1,0
167,243,1,2025-12-19,1,25,505,9899,59,310,1,0
168,244,1,2025-08-17,1,15,316,6152,36,311,1,0
169,245,1,2025-11-21,1,12,258,5147,29,312,1,0
170,246,1,2025-03-16,1,5,121,2384,12,313,1,0
171,247,2,2025-06-25,1,6,131,3030,16,314,1,0
172,249,1,2025-04-23,1,17,348,6929,40,316,1,0
173,251,1,2025-02-16,1,5,122,2405,14,320,1,0
174,253,1,2025-09-25,1,28,561,10719,65,322,1,0
175,254,1,2025-08-16,1,27,546,10534,63,324,1,0
176,255,1,2025-08-29,1,28,551,10896,66,325,1,0
177,256,2,2025-10-18,1,5,122,2181,11,328,1,0
178,258,1,2025-06-11,1,19,378,7314,46,329,1,0
179,259,1,2025-02-23,1,27,537,10702,63,332,1,0
180,260,1,2025-02-19,1,21,426,8120,50,333,1,0
181,260,1,2025-02-14,1,21,426,8292,50,334,1,0
182,261,1,2025-04-14,1,25,495,9650,60,336,1,0
183,263,1,2025-05-03,1,13,281,5638,32,337,1,0
184,266,1,2025-06-25,1,5,124,2182,12,339,1,0
185,269,1,2025-03-25,1,5,119,2664,13,340,1,0
186,270,1,2025-08-29,1,16,328,6643,37,341,1,0
187,271,1,2025-08-14,1,9,188,3811,22,342,1,0
188,272,1,2025-08-24,1,3,62,1162,6,343,1,0
189,273,1,2025-10-19,1,5,106,2180,14,344,1,0
190,275,2,2025-05-16,1,12,264,5123,30,347,1,0
191,276,1,2025-05-15,1,14,297,6009,33,351,1,0
192,280,2,2025-09-16,1,26,519,9997,62,353,1,0
193,281,1,2025-03-29,1,11,241,4966,27,355,1,0
194,282,2,2025-08-08,1,17,341,6930,40,358,1,0
195,283,1,2025-01-27,1,4,84,1833,9,359,1,0
196,285,1,2025-04-20,1,29,572,11269,68,361,1,0
197,286,1,2025-03-19,1,28,563,10875,66,362,1,0
198,288,1,2025-12-03,1,5,113,2594,14,365,1,0
199,289,1,2025-08-25,1,29,577,11142,68,366,1,0
200,289,1,2025-09-02,1,29,577,11166,67,367,1,0
201,291,1,2026-02-09,1,29,571,11208,68,368,1,0
202,292,2,2025-11-22,1,2,36,742,4,369,1,0
203,293,1,2025-07-07,1,14,301,5849,34,370,1,0
204,295,1,2025-10-03,1,1,16,407,2,373,1,0
205,302,1,2025-05-03,1,22,442,8482,51,380,1,0
206,303,1,2025-08-19,1,5,114,2338,11,381,1,0
207,304,1,2025-09-23,1,22,454,8436,52,385,1,0
208,309,1,2025-04-14,1,5,110,2496,14,392,1,0
209,310,1,2025-12-13,1,6,130,2856,15,393,1,0
210,313,1,2025-08-24,1,17,352,6835,40,396,1,0
211,314,1,2025-02-07,1,24,479,9484,58,397,1,0
212,315,1,2025-03-10,1,21,417,8270,49,399,1,0
213,315,1,2025-03-23,1,21,417,8246,50,400,1,0
214,316,1,2025-04-10,1,3,57,1481,8,401,1,0
215,317,1,2025-04-09,1,26,522,10204,62,402,1,0
216,317,1,2025-04-22,1,26,522,10352,61,403,1,0
217,318,2,2025-11-27,1,22,442,8535,52,404,1,0
218,323,1,2025-03-05,1,23,465,9128,55,407,1,0
219,324,1,2025-11-30,1,5,121,2616,13,408,1,0
220,325,1,2025-04-02,1,16,329,6616,37,410,1,0
221,326,1,2025-04-23,1,23,473,9251,55,412,1,0
222,327,1,2025-09-07,1,28,556,10719,65,416,1,0
223,331,1,2025-08-09,1,4,91,2135,9,419,1,0
224,332,1,2025-10-05,1,21,420,8389,50,421,1,0
225,333,2,2025-12-26,1,5,107,2160,13,422,1,0
226,334,1,2025-08-23,1,11,244,4494,27,423,1,0
227,335,1,2025-09-26,1,5,106,2432,11,424,1,0
228,336,2,2025-06-29,1,23,462,9057,56,425,1,0
229,338,1,2025-07-02,1,22,449,8611,52,427,1,1
230,339,1,2025-08-31,1,8,181,3420,19,428,1,0
231,340,1,2025-05-27,1,22,439,8704,52,429,1,1
232,341,1,2025-03-27,1,5,122,2282,12,431,1,0
233,343,1,2025-12-01,1,11,228,5015,28,432,1,0
234,344,1,2025-03-31,1,6,144,2886,16,434,1,0
235,345,2,2025-12-24,1,7,157,3167,18,435,1,0
236,347,2,2025-10-30,1,17,352,6783,41,436,1,0
237,349,1,2025-03-24,1,5,105,2473,12,439,1,0
238,350,1,2026-02-11,1,29,579,11318,68,440,1,0
239,351,1,2025-03-06,1,5,110,2182,13,444,1,0
240,353,1,2025-05-10,1,3,68,1288,7,445,1,0
241,355,2,2025-08-21,1,4,86,1942,10,446,1,0
242,358,1,2025-06-05,1,15,316,6363,35,447,1,0
243,359,1,2025-04-18,1,1,16,601,2,451,1,0
244,361,2,2025-06-01,1,22,442,8789,54,452,1,0
245,361,1,2025-05-26,1,22,442,8836,53,453,1,0
246,362,1,2025-02-24,1,22,442,8612,54,454,1,0
247,363,1,2025-10-03,1,23,461,9157,55,457,1,0
248,363,2,2025-10-02,1,23,461,9102,55,458,1,0
249,364,1,2025-06-08,1,13,281,5690,31,459,1,0
250,365,1,2025-02-20,1,22,440,8482,52,460,1,0
251,366,1,2025-04-23,1,8,175,3491,19,462,1,0
252,367,2,2025-02-07,1,5,118,2383,11,467,1,0
253,368,2,2025-10-27,1,23,467,9056,55,468,1,0
254,370,2,2025-06-17,1,5,103,2384,14,470,1,0
255,371,2,2025-11-18,1,29,575,11141,68,471,1,0
256,372,1,2025-03-05,1,5,103,2433,14,472,1,0
257,373,1,2025-10-20,1,22,446,9006,53,475,1,0
258,374,2,2025-12-19,1,5,110,2496,13,476,1,0
259,375,1,2025-10-10,1,25,502,9902,60,477,1,0
260,376,1,2025-10-20,1,16,327,6524,38,478,1,0
261,377,2,2025-09-17,1,29,569,11186,67,479,1,0
262,378,2,2025-10-30,1,15,309,6177,35,481,1,0
263,378,1,2025-11-05,1,15,309,6414,35,482,1,0
264,379,2,2025-10-04,1,25,498,9651,59,486,1,0
265,380,1,2025-04-24,1,11,222,4992,27,489,1,0
266,382,1,2025-10-31,1,7,152,3138,17,493,1,0
267,383,1,2025-09-06,1,28,554,10895,66,495,1,0
268,384,1,2025-03-05,1,17,343,6865,39,499,1,0
269,385,1,2025-09-24,1,27,544,10675,64,501,1,1
270,385,1,2025-10-01,1,27,544,10658,64,500,1,0
271,386,1,2025-12-15,1,2,42,1089,3,502,1,0
272,387,1,2025-06-29,1,5,122,2283,14,504,1,0
273,388,2,2025-03-09,1,26,526,10203,61,506,1,0
274,392,2,2025-10-14,1,1,20,601,2,512,1,0
275,395,1,2025-06-20,1,5,124,2230,12,516,1,0
276,396,1,2025-03-12,1,26,520,10303,61,517,1,0
277,399,1,2025-09-25,1,4,93,2134,10,520,1,0
278,400,1,2025-04-09,1,7,154,3139,18,521,1,0
279,401,1,2025-10-16,1,30,595,11470,70,524,1,0
280,403,1,2025-06-26,1,12,254,5209,30,526,1,0
281,406,1,2025-10-03,1,22,437,8934,54,531,1,0
282,410,2,2025-02-18,1,9,199,4088,21,535,1,0
283,412,2,2025-10-10,1,11,247,4618,26,536,1,0
284,413,2,2025-08-03,1,11,229,4648,25,537,1,0
285,414,1,2025-09-14,1,5,118,2382,11,539,1,0
286,415,2,2025-07-11,1,4,96,2005,10,540,1,0
287,416,1,2026-01-06,1,21,419,8119,50,541,1,0
288,418,1,2026-01-13,1,17,345,6783,42,542,1,0
289,418,1,2026-01-05,1,17,345,6891,39,543,1,0
290,419,1,2025-02-25,1,5,117,2664,13,544,1,0
291,420,2,2025-07-25,1,8,176,3604,20,546,1,0
292,421,2,2025-08-17,1,5,108,2283,11,547,1,0
293,422,2,2025-09-25,1,28,562,10852,66,549,1,0
294,424,1,2025-03-28,1,5,121,2312,12,552,1,0
295,425,1,2025-07-08,1,17,344,6716,40,553,1,0
296,426,1,2025-11-13,1,21,427,8412,49,554,1,0
297,427,1,2025-07-02,1,9,189,3763,22,556,1,0
298,428,1,2025-05-21,1,5,103,2665,13,559,1,0
299,429,1,2025-02-03,1,7,153,3382,18,560,1,0
300,431,1,2025-04-22,1,5,116,2404,11,561,1,0
301,432,1,2025-05-24,1,6,146,2833,16,563,1,0
302,433,1,2025-08-31,1,5,116,2335,12,564,1,0
303,434,1,2025-06-15,1,5,123,2475,14,565,1,0
304,435,1,2025-03-15,1,5,120,2431,13,566,1,0
305,436,1,2025-05-19,1,10,212,4133,23,568,1,0
306,437,1,2025-04-06,1,24,487,9628,57,572,1,0
307,438,1,2025-05-12,1,23,470,9057,55,575,1,0
308,439,1,2025-06-24,1,5,107,2284,12,576,1,0
309,441,1,2025-12-07,1,5,121,2552,14,578,1,0
310,442,1,2025-01-28,1,18,362,7166,43,580,1,0
311,445,1,2025-09-04,1,5,110,2356,14,583,1,0
312,446,1,2025-06-06,1,5,111,2160,13,584,1,0
313,447,1,2025-02-06,1,31,602,11912,71,585,1,0
314,450,2,2025-09-03,1,5,109,2230,13,589,1,0
315,452,1,2025-04-15,1,5,118,2451,11,591,1,0
316,454,1,2025-08-04,1,8,181,3509,19,593,1,0
317,456,1,2025-07-09,1,5,122,2231,14,594,1,0
318,457,1,2025-08-15,1,21,428,8120,49,595,1,0
319,458,2,2025-10-26,1,5,118,2476,14,596,1,0
320,459,1,2025-02-15,1,15,311,6177,36,598,1,0
321,460,1,2025-07-11,1,25,502,9924,60,599,1,0
322,461,1,2025-05-11,1,5,112,2405,13,600,1,0
323,462,1,2025-10-21,1,7,160,3241,17,602,1,0
324,463,1,2025-11-20,1,30,591,11404,70,603,1,0
325,464,1,2025-07-15,1,24,484,9435,57,605,1,0
326,465,1,2025-04-13,1,26,518,10202,62,606,1,0
327,469,1,2025-08-20,1,25,506,9825,60,612,1,0
328,471,2,2025-11-06,1,28,559,11037,65,613,1,0
329,472,1,2025-08-04,1,28,554,10895,65,614,1,0
330,476,1,2025-03-29,1,6,131,2689,15,617,1,0
331,477,1,2025-08-14,1,25,495,9651,59,618,1,0
332,478,1,2025-10-05,1,13,283,5636,31,619,1,0
333,480,2,2025-11-08,1,5,103,2284,13,623,1,0
334,480,1,2025-11-09,1,5,103,2180,13,622,1,0
335,481,1,2025-09-18,1,4,93,1983,10,624,1,0
336,483,2,2025-05-03,1,5,103,2357,11,626,1,0
337,484,1,2025-07-20,1,19,390,7437,45,627,1,0
338,486,1,2025-09-24,1,5,103,2475,11,628,1,0
339,487,1,2025-07-21,1,13,274,5588,32,630,1,0
340,489,1,2025-08-04,1,31,605,11939,71,633,1,0
341,490,1,2025-11-30,1,5,113,2616,11,635,1,0
342,491,1,2025-12-15,1,6,134,2886,15,637,1,0
343,492,1,2025-05-23,1,10,213,4250,23,639,1,0
344,493,1,2025-12-27,1,10,215,4134,24,642,1,0
345,495,1,2025-04-24,1,5,119,2202,14,644,1,0
346,496,1,2026-01-01,1,3,72,1461,5,645,1,0
347,497,2,2025-04-21,1,13,279,5542,32,646,1,0
348,499,1,2025-12-27,1,4,96,2106,10,649,1,0
349,500,2,2025-11-09,1,21,417,8412,50,650,1,0
350,502,1,2026-01-08,1,5,119,2383,11,651,1,0
351,503,1,2025-08-30,1,5,120,2283,12,652,1,0
352,504,1,2025-06-17,1,31,600,11770,72,653,1,0
353,505,1,2025-08-17,1,4,88,1788,9,654,1,0
354,507,1,2025-04-06,1,12,255,5147,30,657,1,0
355,508,1,2025-08-05,1,29,569,11067,67,658,1,0
356,509,1,2025-06-30,1,5,109,2283,12,659,1,0
357,510,1,2025-04-06,1,2,32,810,3,661,1,0
358,511,2,2025-04-10,1,26,520,10118,62,662,1,0
359,511,1,2025-04-16,1,26,520,10375,61,663,1,0
360,513,1,2026-01-13,1,7,152,3330,17,665,1,0
361,515,2,2025-04-10,1,5,111,2432,13,667,1,0
362,516,2,2025-06-13,1,5,111,2282,12,668,1,0
363,517,2,2025-05-18,1,18,365,7079,44,669,1,0
364,518,1,2025-08-27,1,5,103,2450,11,672,1,0
365,521,1,2025-03-11,1,6,143,2791,16,679,1,0
366,524,1,2025-07-08,1,25,498,9847,60,683,1,0
367,525,1,2025-05-19,1,22,454,8935,54,684,1,0
368,528,1,2025-02-20,1,17,351,6911,42,685,1,0
369,529,1,2025-11-21,1,25,498,9950,60,687,1,0
370,530,1,2025-05-19,1,21,416,8321,50,688,1,0
371,530,1,2025-05-02,1,21,416,8147,50,689,1,0
372,531,2,2025-04-06,1,26,518,10025,62,690,1,0
373,533,2,2025-11-10,1,21,423,8173,49,691,1,0
374,534,1,2026-01-22,1,27,536,10655,63,692,1,0
375,535,1,2025-09-01,1,23,463,9201,55,693,1,0
376,537,1,2025-04-09,1,11,229,5014,26,694,1,0
377,538,2,2025-09-16,1,3,76,1713,5,697,1,0
378,540,2,2026-01-20,1,17,340,6753,41,698,1,0
379,542,1,2025-01-24,1,13,281,5635,32,700,1,0
380,543,1,2025-05-13,1,5,120,2495,13,701,1,0
381,544,1,2025-04-18,1,5,112,2283,11,702,1,0
382,545,2,2025-09-25,1,5,122,2616,11,704,1,0
383,546,2,2025-09-13,1,14,301,5895,33,706,1,0
384,548,1,2026-01-11,1,8,181,3441,19,712,1,0
385,549,2,2025-09-05,1,22,452,9006,52,714,1,0
386,549,1,2025-08-22,1,22,452,8634,52,715,1,0
387,550,1,2025-09-13,1,17,341,6716,40,716,1,0
388,551,1,2025-05-16,1,14,292,5739,33,718,1,0
389,552,1,2025-07-07,1,4,92,1788,9,720,1,0
390,553,1,2025-07-24,1,1,25,645,2,721,1,0
391,554,1,2026-02-01,1,5,123,2310,14,722,1,0
392,555,2,2025-04-26,1,4,94,1861,9,723,1,0
393,556,1,2025-05-09,1,17,346,6812,39,724,1,0
394,557,2,2025-03-04,1,25,502,9737,59,725,1,0
395,558,1,2025-05-17,1,21,427,8291,49,726,1,0
396,563,1,2025-11-22,1,15,311,6413,36,732,1,0
397,565,1,2025-09-10,1,1,25,682,1,734,1,0
398,566,1,2025-09-24,1,27,543,10513,63,737,1,0
399,567,1,2025-06-04,1,30,585,11387,69,739,1,0
400,568,1,2025-01-13,1,11,233,4569,25,743,1,0
401,568,1,2025-01-02,1,11,233,4801,27,741,1,0
402,569,1,2025-09-01,1,13,282,5588,32,744,1,0
403,570,1,2025-04-12,1,23,461,9178,55,745,1,0
404,572,2,2025-07-15,1,21,417,8246,50,747,1,0
405,573,1,2025-06-05,1,23,463,9277,56,748,1,0
406,576,2,2025-04-30,1,23,465,9156,56,752,1,0
407,577,1,2025-02-11,1,29,571,11167,67,753,1,0
408,580,1,2025-05-05,1,21,421,8269,50,759,1,0
409,580,1,2025-05-30,1,21,421,8413,50,758,1,0
410,581,1,2025-03-05,1,15,317,6324,35,760,1,0
411,582,1,2025-03-08,1,10,215,4329,24,762,1,0
412,583,1,2025-11-21,1,6,133,2886,15,765,1,0
413,584,1,2026-02-07,1,2,31,989,4,766,1,0
414,585,1,2025-04-07,1,27,544,10562,63,767,1,0
415,587,1,2025-04-02,1,2,43,1038,3,768,1,0
416,588,2,2025-11-04,1,4,85,1889,10,769,1,0
417,589,2,2025-07-01,1,14,299,5925,33,770,1,0
418,590,1,2025-07-05,1,2,37,967,4,771,1,0
419,591,1,2025-12-20,1,22,444,8806,53,772,1,0
420,592,1,2025-04-19,1,22,436,8863,52,773,1,0
421,593,2,2025-10-27,1,1,16,601,1,774,1,0
422,594,1,2026-01-26,1,17,342,6891,40,776,1,0
423,595,1,2025-06-12,1,5,118,2335,13,777,1,0
424,597,1,2025-02-06,1,25,502,9823,59,782,1,0
425,598,1,2025-07-30,1,3,62,1161,5,784,1,0
426,599,1,2025-07-24,1,7,160,3284,17,788,1,0
427,600,2,2025-12-18,1,29,575,11236,67,789,1,0
428,603,2,2025-11-17,1,5,114,2474,12,793,1,0
429,604,2,2025-09-15,1,5,112,2473,13,795,1,0
430,605,1,2025-09-21,1,5,120,2312,11,797,1,0
431,605,1,2025-08-16,1,5,120,2283,11,799,1,0
432,606,1,2025-05-03,1,20,404,7721,47,800,1,0
433,607,1,2026-02-07,1,7,160,3185,17,802,1,0
434,609,1,2025-02-14,1,27,543,10488,63,806,1,0
435,611,2,2025-11-15,1,12,254,5254,29,809,1,0
436,612,1,2025-07-26,1,5,114,2643,11,812,1,0
437,613,1,2025-06-09,1,16,332,6642,37,813,1,1
438,614,1,2025-06-10,1,3,75,1160,6,814,1,1
439,615,1,2025-07-31,1,5,120,2160,13,816,1,0
440,617,1,2025-11-15,1,29,574,11341,68,819,1,0
441,619,2,2025-05-16,1,6,134,2935,15,823,1,0
442,620,1,2025-02-13,1,5,116,2203,11,824,1,0
443,623,2,2025-03-15,1,25,503,9824,59,829,1,0
444,624,1,2025-10-01,1,11,224,4822,26,831,1,0
445,625,1,2025-06-20,1,30,590,11511,69,832,1,0
446,626,1,2025-12-17,1,3,53,1525,8,833,1,0
447,627,2,2025-09-24,1,15,312,6175,35,835,1,0
448,628,1,2025-02-21,1,8,169,3602,20,837,1,0
449,629,1,2025-03-09,1,5,118,2665,14,838,1,0
450,630,2,2025-10-06,1,10,215,4248,24,842,1,0
451,631,1,2025-03-10,1,31,613,11939,72,844,1,0
452,632,1,2025-05-17,1,6,140,3071,16,845,1,0
453,633,2,2025-10-01,1,28,563,10750,65,846,1,0
454,635,1,2025-03-26,1,6,134,2812,15,847,1,0
455,636,1,2025-03-28,1,3,62,1610,5,848,1,0
456,637,2,2025-05-03,1,3,72,1690,5,849,1,0
457,640,1,2025-07-01,1,5,117,2358,11,853,1,0
458,641,2,2025-06-08,1,5,123,2283,14,854,1,0
459,642,1,2025-06-23,1,3,61,1587,6,855,1,0
