CSID,CaseMasterID,csdate,cstype,PolicePersonID
196,263,2025-06-20,A,5608
197,264,2025-06-09,C,7518
198,266,2025-09-05,A,2182
199,267,2025-08-16,C,9127
200,268,2026-01-01,C,1484
201,269,2025-05-13,A,2337
202,271,2025-08-06,A,3936
203,272,2025-10-24,A,1421
204,273,2025-12-29,A,2523
205,275,2025-07-30,A,5402
206,276,2025-07-18,A,5895
207,277,2025-07-19,C,10353
208,279,2025-06-14,C,2667
209,281,2025-05-19,A,4648
210,282,2025-10-29,A,6811
211,283,2025-06-10,A,2080
212,285,2025-04-18,A,11289
213,286,2025-05-20,A,10822
214,288,2025-12-12,A,2159
215,290,2025-10-26,C,4523
216,291,2026-04-08,A,11070
217,292,2026-02-11,A,1090
218,293,2025-10-02,A,5849
219,295,2026-02-09,A,406
220,296,2026-01-07,C,4202
221,299,2025-09-29,C,2616
222,300,2025-06-05,C,7289
223,302,2025-06-04,A,8979
224,303,2025-08-23,A,2572
225,304,2025-12-19,A,8936
226,305,2025-07-19,B,8979
227,307,2025-06-04,C,8534
228,308,2025-05-30,C,767
229,309,2025-04-29,A,2594
230,310,2026-04-17,A,2834
231,311,2025-06-12,B,10851
232,313,2025-09-02,A,6715
233,314,2025-05-23,A,9530
234,315,2025-04-25,A,8197
235,316,2025-03-31,A,1632
236,317,2025-05-29,A,10201
237,318,2026-02-20,A,8789
238,319,2025-07-07,C,2311
239,322,2025-06-29,C,1014
240,323,2025-04-29,A,9278
241,324,2026-03-23,A,2495
242,326,2025-07-29,A,9230
243,327,2025-12-23,A,10750
244,328,2026-01-01,C,4649
245,329,2025-05-11,C,3957
246,331,2025-10-03,A,1862
247,332,2025-11-03,A,8247
248,334,2025-10-13,A,4778
249,335,2025-11-07,A,2522
250,336,2025-08-20,A,9251
251,338,2025-10-17,A,8837
252,339,2025-10-10,A,3535
253,340,2025-07-08,A,8788
254,341,2025-04-26,A,2405
255,342,2025-07-23,C,11268
256,343,2025-12-06,A,4525
257,344,2025-06-03,A,3073
258,345,2026-02-13,A,3381
259,346,2025-08-08,C,2476
260,347,2025-12-23,A,6953
261,348,2026-02-18,B,2495
262,349,2025-05-22,A,2615
263,351,2025-04-09,A,2523
264,352,2026-01-28,C,9230
265,353,2025-06-20,A,1609
266,354,2025-02-13,C,6035
267,355,2025-10-04,A,1815
268,356,2025-09-14,C,2182
269,357,2025-06-23,C,2571
270,358,2025-10-02,A,6229
271,359,2025-06-04,A,578
272,360,2025-12-09,C,2258
273,361,2025-08-09,A,8534
274,362,2025-04-29,A,8659
275,363,2025-11-05,A,9057
276,364,2025-07-11,A,5636
277,365,2025-05-09,A,8484
278,366,2025-06-16,B,3510
279,367,2025-04-30,A,2643
280,368,2025-12-13,A,9231
281,369,2026-01-14,C,2689
282,370,2025-11-13,A,2282
283,371,2025-11-21,A,11068
284,372,2025-04-16,A,2338
285,373,2026-01-15,A,8510
286,374,2026-03-26,A,2258
287,375,2026-02-16,A,9691
288,377,2026-01-02,A,11236
289,379,2026-01-20,A,9878
290,380,2025-08-12,A,4943
291,382,2025-12-04,A,3241
292,383,2025-11-07,A,10853
293,384,2025-05-08,A,6930
294,385,2025-11-27,A,10586
295,386,2026-01-03,A,811
296,387,2025-06-26,A,2335
297,388,2025-05-15,A,10353
298,390,2025-06-12,B,5056
299,392,2025-11-26,A,406
300,393,2025-04-27,C,1014
301,394,2025-06-01,B,4330
302,395,2025-09-15,A,2432
303,396,2025-06-07,A,10302
304,398,2025-08-12,C,2382
305,399,2026-01-04,A,1862
306,400,2025-07-30,A,3263
307,401,2025-12-08,A,11578
308,402,2025-08-14,C,10159
309,403,2025-10-10,A,5281
310,405,2025-09-22,C,6548
311,409,2025-12-15,C,10201
312,410,2025-02-17,A,4038
313,411,2025-05-15,C,2231
314,412,2025-10-27,A,4567
315,413,2025-11-20,A,4850
316,414,2026-01-20,A,2666
317,415,2025-06-29,A,2106
318,416,2026-04-28,B,8338
319,417,2025-03-07,C,10117
320,418,2026-01-26,A,6735
321,419,2025-03-30,A,2258
322,420,2025-11-10,A,3581
323,422,2025-10-29,A,11011
324,424,2025-04-19,A,2667
325,425,2025-11-23,A,6734
326,427,2025-08-27,A,3959
327,428,2025-08-24,A,2204
328,429,2025-04-09,A,3167
329,430,2025-11-03,C,9253
330,431,2025-08-12,A,2183
331,432,2025-06-30,A,2814
332,434,2025-08-16,A,2338
333,435,2025-03-08,A,2258
334,436,2025-05-29,A,4247
335,437,2025-06-02,A,9388
336,438,2025-07-15,A,9079
337,439,2025-07-31,A,2203
338,441,2025-12-14,A,2338
339,442,2025-05-08,A,7103
340,443,2025-10-06,C,8197
341,445,2025-11-01,A,2182
342,446,2025-07-14,A,2385
343,447,2025-03-15,A,11744
344,450,2025-10-22,A,2312
345,454,2025-08-20,A,3402
346,455,2025-10-23,C,9779
347,456,2025-08-31,A,2383
348,457,2025-10-02,A,8320
349,458,2025-12-03,A,2643
350,459,2025-05-29,A,6415
351,460,2025-09-21,A,9975
352,461,2025-08-21,A,2282
353,463,2025-11-30,B,11533
354,464,2025-08-07,A,9389
355,465,2025-05-15,A,10204
356,467,2025-12-21,C,2180
357,469,2025-12-03,A,9691
358,470,2025-03-03,C,2004
359,471,2026-02-26,A,10896
360,472,2025-10-06,A,10852
361,474,2025-09-21,C,8809
362,476,2025-08-21,A,2938
363,477,2025-08-25,A,9824
364,478,2025-10-17,A,5541
365,480,2026-02-02,A,2450
366,481,2025-12-27,A,1834
367,482,2025-05-01,C,6735
368,483,2025-08-08,A,2616
369,484,2025-09-23,A,7386
370,485,2026-01-02,C,3493
371,486,2025-09-23,A,2337
372,487,2025-08-13,A,5689
373,489,2025-10-01,A,11800
374,492,2025-07-22,A,4302
375,494,2025-07-05,B,2180
376,495,2025-05-31,A,2182
377,497,2025-05-31,A,5608
378,498,2026-02-07,B,11839
379,500,2025-12-01,A,8195
380,501,2025-05-01,C,4942
381,503,2026-01-11,A,2451
382,504,2025-06-05,A,11718
383,505,2025-11-16,A,1962
384,507,2025-05-30,A,5352
385,508,2025-12-03,A,11166
386,509,2025-10-16,A,2553
387,510,2025-07-09,A,838
388,511,2025-06-30,A,9998
389,515,2025-05-24,A,2203
390,516,2025-07-17,A,2553
391,517,2025-06-01,A,7006
392,518,2025-10-22,A,2572
393,520,2025-03-28,B,2740
394,521,2025-04-13,A,2710
395,522,2025-11-18,C,1014
396,524,2025-07-15,A,9924
397,525,2025-09-22,A,8511
398,526,2025-08-18,C,7521
399,527,2025-03-14,C,2740
400,528,2025-05-29,A,6782
401,530,2025-08-13,A,8220
402,531,2025-05-28,A,10133
403,532,2025-08-13,C,8934
404,533,2026-03-01,A,8222
405,534,2026-01-17,A,10676
406,535,2025-09-03,A,9278
407,536,2025-10-06,C,2615
408,537,2025-07-18,A,4722
409,538,2025-10-06,A,1568
410,539,2025-06-01,C,3330
411,541,2026-04-13,B,2357
412,542,2025-02-25,A,5586
413,543,2025-05-03,A,2616
414,544,2025-08-28,A,2553
415,545,2025-09-24,A,2358
416,546,2025-11-24,A,5736
417,547,2026-01-31,B,3812
418,548,2026-01-03,A,3704
419,549,2025-10-28,A,8679
420,550,2025-10-18,A,6735
421,551,2025-07-14,A,6078
422,555,2025-05-17,A,1834
423,556,2025-08-17,A,6691
424,557,2025-04-16,A,9922
425,558,2025-06-18,A,8223
426,560,2025-09-22,C,9736
427,564,2026-05-04,C,2357
428,565,2025-10-04,A,646
429,566,2025-12-31,A,10458
430,567,2025-08-30,A,11554
431,568,2025-03-28,A,4523
432,569,2025-11-18,A,5662
433,570,2025-04-10,A,9176
434,572,2025-09-09,A,8412
435,576,2025-06-18,A,9102
436,577,2025-02-22,A,11067
437,580,2025-08-21,A,8248
438,581,2025-04-30,A,6382
439,582,2025-05-05,A,4304
440,583,2025-12-02,A,3010
441,584,2026-04-04,A,1113
442,585,2025-07-03,A,10415
443,586,2025-04-29,C,2338
444,587,2025-04-26,A,862
445,588,2026-01-19,A,1862
446,589,2025-07-29,A,5720
447,590,2025-06-24,A,810
448,591,2026-02-16,A,9006
449,592,2025-07-05,A,8835
450,593,2025-12-02,A,578
451,595,2025-09-07,A,2665
452,597,2025-05-05,A,9670
453,598,2025-12-07,A,1163
454,601,2025-04-26,B,1139
455,603,2026-01-20,A,2572
456,604,2025-11-07,A,2473
457,605,2025-12-12,A,2494
458,606,2025-06-10,A,7740
459,608,2025-07-25,B,7694
460,609,2025-06-05,B,10656
461,611,2026-02-04,A,5375
462,612,2025-10-29,A,2433
463,613,2025-08-19,A,6667
464,614,2025-10-21,A,1525
465,615,2025-08-31,A,2384
466,619,2025-08-22,A,2858
467,620,2025-02-16,A,2338
468,621,2025-06-19,C,4567
469,623,2025-05-10,A,9847
470,624,2025-12-19,A,4993
471,625,2025-06-27,A,11365
472,627,2026-01-09,A,6249
473,628,2025-06-15,A,3418
474,629,2025-03-26,A,2432
475,630,2025-12-05,A,4228
476,631,2025-06-24,A,11939
477,632,2025-05-04,A,2936
478,633,2025-10-12,A,10719
479,634,2025-11-09,C,5305
480,635,2025-05-03,A,3029
481,636,2025-05-05,A,1162
482,637,2025-07-14,A,1570
483,638,2025-01-27,C,9825
484,639,2025-04-04,B,2159
485,640,2025-08-23,A,2335
486,641,2025-06-02,A,2159
487,642,2025-07-07,A,1661
488,643,2026-03-10,A,2665
489,644,2025-10-06,A,2231
490,645,2025-09-19,A,3418
491,646,2025-12-26,A,2310
492,650,2025-06-15,A,2594
493,651,2025-12-25,A,2664
494,653,2025-07-18,A,2790
495,654,2025-06-29,A,2405
496,656,2025-12-31,A,4918
497,657,2025-06-21,C,2665
498,658,2025-10-18,A,2204
499,659,2025-03-13,A,9201
500,661,2025-10-19,C,2205
501,662,2025-12-01,A,11291
502,663,2025-06-21,B,2405
503,664,2025-06-01,A,1632
504,665,2025-07-29,A,2357
505,666,2025-10-09,B,1307
506,667,2025-10-18,A,11403
507,668,2025-05-04,A,2432
508,669,2025-09-18,A,2642
509,670,2025-08-10,C,1813
510,672,2025-10-11,C,5466
511,673,2026-01-05,A,10324
512,674,2025-04-28,C,3073
513,676,2025-05-24,A,4401
514,677,2025-11-17,A,6548
515,678,2025-12-12,A,4522
516,679,2025-08-18,A,2358
517,680,2025-07-07,C,5402
518,681,2025-12-26,A,11121
519,682,2025-05-08,A,5252
520,683,2025-12-16,A,3581
521,684,2026-01-02,C,1141
522,685,2025-05-28,A,11364
523,686,2025-03-22,A,382
524,687,2025-07-29,A,683
525,690,2025-06-25,B,2594
526,692,2026-01-17,A,9691
527,693,2025-03-07,B,2572
528,694,2026-02-17,A,5444
529,695,2025-05-28,A,2283
530,696,2025-08-15,A,9974
531,697,2025-09-21,C,7600
532,698,2025-10-07,A,7316
533,699,2026-01-17,A,6100
534,701,2026-04-06,C,8065
535,702,2025-06-23,C,9736
536,703,2026-04-13,A,2311
537,704,2025-12-29,A,2284
538,705,2026-01-13,C,2615
539,706,2026-01-03,A,8934
540,707,2025-05-27,A,9949
541,709,2025-10-08,A,5421
542,710,2025-06-24,A,9057
543,711,2025-10-28,A,8911
544,712,2025-12-21,A,8737
545,713,2025-10-28,A,4524
546,714,2026-02-03,A,6912
547,715,2025-07-15,A,2664
548,716,2026-01-27,A,4746
549,717,2025-08-12,C,501
550,718,2025-09-28,A,3915
551,719,2025-09-15,A,1984
552,722,2025-12-13,A,6055
553,724,2026-02-24,A,2104
554,726,2025-08-02,A,3263
555,727,2025-09-08,B,8095
556,728,2025-12-03,A,8735
557,729,2025-03-05,B,10720
558,731,2026-02-15,A,5123
559,733,2025-06-28,A,3538
560,734,2025-08-25,A,8247
561,735,2025-08-29,A,4801
562,736,2025-08-05,A,9671
563,737,2025-04-09,A,2160
564,738,2025-09-24,A,8735
565,739,2025-11-02,A,9825
566,740,2026-01-18,A,8147
567,741,2025-11-26,C,2431
568,742,2025-08-30,A,6836
569,744,2025-12-19,A,2642
570,745,2025-11-12,C,11451
571,748,2025-02-21,A,6982
572,750,2025-08-23,A,6276
573,751,2025-06-14,A,3705
574,752,2025-12-01,A,11068
575,753,2025-12-09,A,2615
576,754,2025-05-25,A,4274
577,755,2025-12-17,A,580
578,757,2025-10-12,C,6981
579,758,2025-07-14,A,2181
580,760,2025-10-20,A,8413
581,761,2025-09-07,C,3097
582,763,2025-07-03,C,2553
583,764,2025-07-09,C,431
584,765,2025-12-11,C,8861
585,767,2025-08-18,A,2284
586,770,2025-08-22,A,9924
587,771,2025-03-19,A,2496
588,772,2025-07-22,A,3467
589,774,2025-07-29,A,2616
590,775,2026-04-15,A,3009
591,778,2025-05-29,C,2595
592,779,2025-08-18,A,10873
593,780,2025-11-16,A,8935
594,781,2025-04-01,A,2666
595,783,2025-08-22,C,10202
596,784,2025-11-20,C,8611
597,786,2025-05-07,A,6981
598,787,2026-05-03,A,2451
599,788,2025-09-06,A,2450
600,789,2025-08-09,A,8016
601,790,2025-07-21,C,5422
602,791,2025-12-07,A,6482
603,794,2025-06-27,A,4303
604,795,2025-02-19,A,7573
605,796,2025-04-30,C,11626
606,797,2026-03-04,A,2336
607,800,2026-01-15,B,4470
608,802,2025-09-15,A,11095
609,804,2025-10-29,A,2432
610,805,2026-02-02,A,9410
611,806,2025-08-14,A,5981
612,807,2025-12-03,A,5253
613,809,2026-02-08,A,3676
614,811,2025-11-27,A,2432
615,812,2025-06-17,C,2474
616,813,2025-09-02,A,6952
617,815,2025-11-06,A,2356
618,817,2025-01-24,A,1524
619,819,2025-05-18,A,6810
620,820,2026-02-17,A,9057
621,821,2025-11-18,A,2284
622,822,2026-02-18,C,1568
623,823,2025-11-27,A,2595
624,825,2025-12-30,B,2886
625,826,2025-12-07,A,1015
626,827,2025-06-18,A,9007
627,829,2025-06-28,A,8836
628,830,2025-11-14,C,10657
629,832,2025-02-24,A,2283
630,834,2025-12-03,C,2665
631,835,2025-06-10,A,9974
632,836,2025-09-09,A,10117
633,837,2025-10-24,C,6250
634,838,2025-03-21,A,2259
635,839,2025-03-12,A,6008
636,842,2025-12-24,A,557
637,843,2026-03-28,A,838
638,845,2025-10-20,C,5588
639,846,2026-02-05,C,2938
640,847,2025-08-18,A,9200
641,848,2025-02-14,A,5608
642,850,2025-10-24,A,7622
643,851,2026-01-28,A,3536
644,856,2025-03-19,A,2335
645,857,2025-11-29,A,2003
646,858,2025-09-09,A,2572
647,859,2025-06-11,A,9231
648,860,2025-12-20,C,2358
649,861,2026-03-25,B,1162
650,862,2025-12-20,A,8862
651,863,2025-04-21,A,6461
652,864,2026-01-15,A,8981
653,866,2025-12-16,C,10944
654,867,2025-08-14,A,2356
655,868,2025-12-20,A,9825
656,869,2025-08-17,A,4065
657,870,2025-10-12,C,4112
658,872,2025-04-22,C,10250
659,873,2025-11-10,B,6811
660,874,2025-06-21,A,2712
661,875,2025-02-06,A,1588
662,876,2025-07-15,A,2357
663,877,2025-05-05,A,2475
664,878,2025-04-20,A,6756
665,879,2025-04-10,A,9101
666,880,2025-09-05,B,2404
667,881,2025-04-02,C,2384
668,882,2025-09-27,A,1608
669,883,2025-06-10,A,9923
670,884,2025-07-04,A,2431
671,886,2025-05-03,A,7314
672,887,2025-11-19,C,2384
673,888,2025-12-16,A,2615
674,889,2025-07-19,A,2004
675,890,2025-09-03,A,2356
676,891,2025-11-14,A,8612
677,892,2025-12-16,B,11451
678,895,2026-04-10,A,8768
679,896,2025-11-15,A,6297
680,898,2025-07-01,C,4495
681,899,2025-07-27,A,8063
682,900,2025-05-10,B,2523
683,901,2025-11-07,A,2284
684,902,2026-03-01,C,1399
685,903,2026-02-09,A,9974
686,904,2025-07-21,A,4849
687,905,2025-06-23,A,2335
688,906,2025-06-06,A,10202
689,907,2025-10-06,A,4113
690,908,2025-05-13,C,2180
691,909,2025-12-18,A,1261
692,910,2025-05-20,A,1610
693,911,2025-11-25,B,5585
694,913,2025-03-15,C,9902
695,914,2025-04-29,A,8936
696,915,2025-08-23,A,5329
697,916,2025-07-11,A,2667
698,917,2025-06-19,A,8678
699,918,2025-05-22,A,9316
700,920,2025-07-14,A,6756
701,921,2025-11-03,A,9077
702,922,2025-07-01,A,2404
703,923,2025-09-07,A,5402
704,924,2025-09-11,A,2312
705,925,2025-09-09,A,3466
706,926,2025-04-14,A,2615
707,927,2025-08-04,A,1982
708,928,2025-07-10,A,9156
709,931,2025-05-27,A,10202
710,933,2025-12-06,A,3381
711,934,2025-03-25,A,2258
712,935,2025-06-06,A,4524
713,936,2026-02-03,C,9998
714,937,2025-12-27,A,11343
715,938,2025-03-05,A,11166
716,939,2025-04-07,C,2791
717,940,2026-01-23,A,5689
718,941,2025-10-28,A,1787
719,942,2025-09-14,A,3602
720,944,2025-03-20,A,2181
721,945,2025-06-20,A,2181
722,946,2026-03-18,B,2231
723,947,2025-06-20,C,2183
724,948,2026-02-15,A,2338
725,949,2025-03-31,C,1211
726,950,2025-08-24,A,2404
727,951,2025-06-26,A,2336
728,952,2025-11-10,A,10584
729,953,2025-11-14,A,579
730,954,2025-06-10,B,1113
731,955,2025-07-01,A,2432
732,956,2025-10-25,A,9901
733,957,2025-03-28,A,9671
734,958,2025-12-22,A,2431
735,962,2025-05-27,C,10416
736,963,2025-07-06,A,2935
737,964,2026-02-16,A,4249
738,965,2025-04-11,A,2494
739,966,2025-10-29,C,9079
740,968,2025-10-19,A,9529
741,969,2025-04-07,A,8585
742,970,2025-06-24,A,2740
743,971,2025-06-15,A,1462
744,972,2025-03-09,A,407
745,973,2025-09-13,C,5422
746,975,2025-11-29,A,2230
747,976,2025-07-12,A,2711
748,978,2026-02-19,A,6715
749,979,2025-05-18,B,1288
750,981,2026-03-14,A,2383
751,982,2025-06-03,A,5421
752,983,2025-07-03,B,3510
753,985,2026-01-02,A,4619
754,986,2026-01-11,A,10028
755,987,2025-12-09,A,2496
756,988,2025-06-27,A,684
757,991,2026-02-27,C,1162
758,992,2025-08-01,A,5635
759,993,2025-07-28,C,5517
760,994,2025-08-07,A,2665
761,998,2025-06-29,C,2180
762,999,2025-08-12,A,2358
763,1002,2025-12-26,A,5739
764,1003,2025-12-05,A,2667
765,1005,2025-06-14,A,11491
766,1006,2025-06-09,A,10352
767,1007,2025-03-09,A,3071
768,1009,2025-09-01,A,5610
769,1010,2025-06-27,A,5517
770,1012,2025-11-08,A,1661
771,1013,2025-06-11,A,8093
772,1014,2025-06-25,A,11744
773,1015,2025-06-28,A,2180
774,1016,2025-07-06,A,3213
775,1017,2025-09-13,C,4374
776,1018,2025-10-24,A,10325
777,1019,2025-08-15,A,2182
778,1020,2025-10-19,B,556
779,1021,2025-04-03,A,2357
780,1023,2025-06-18,A,2284
781,1025,2025-07-29,A,7989
782,1026,2025-10-26,A,713
783,1028,2025-07-07,A,4009
784,1031,2025-07-31,A,2183
785,1032,2025-08-22,C,4373
786,1035,2025-10-06,C,9176
787,1038,2025-11-16,A,3535
788,1039,2025-11-04,A,4468
789,1040,2026-01-12,A,5016
790,1041,2026-02-19,A,11424
791,1042,2025-09-07,A,2312
792,1044,2025-05-22,A,8809
793,1045,2025-05-07,A,2984
794,1046,2025-06-30,B,2310
795,1047,2025-10-16,A,1330
796,1048,2025-05-29,A,8933
797,1049,2025-09-14,B,2451
798,1050,2025-04-23,A,3582
799,1051,2025-11-26,B,2160
800,1052,2025-04-11,B,2259
801,1054,2025-05-29,A,6867
802,1055,2025-03-31,A,10279
803,1057,2026-03-08,A,9229
804,1058,2025-07-19,A,9901
805,1059,2025-08-07,A,2666
806,1061,2025-09-03,C,2105
807,1062,2025-12-05,A,5636
808,1063,2025-07-14,A,3072
809,1064,2026-02-18,C,7916
810,1066,2025-10-03,A,6837
811,1067,2025-10-03,A,7574
812,1069,2025-09-21,A,6277
813,1070,2026-01-11,A,5186
814,1071,2025-10-09,A,2643
815,1073,2025-10-28,A,1815
816,1074,2025-08-18,C,8340
817,1075,2025-06-27,B,3727
818,1076,2025-08-12,A,10303
819,1078,2026-05-02,A,9029
820,1079,2025-07-23,B,2433
821,1080,2025-08-15,A,2312
822,1082,2025-07-01,A,9950
823,1085,2025-07-08,A,2230
824,1086,2025-08-03,A,9561
825,1087,2025-06-11,A,3958
826,1090,2025-10-11,A,5103
827,1091,2025-09-18,B,8705
828,1092,2025-03-22,A,8909
829,1093,2025-10-12,A,11606
830,1094,2025-10-20,A,2475
831,1095,2025-02-27,A,11289
832,1097,2025-10-27,A,8120
833,1098,2025-09-01,A,4184
834,1099,2025-08-12,A,4159
835,1101,2025-10-20,A,2337
836,1102,2025-07-12,A,5491
837,1103,2025-11-22,C,2183
838,1105,2026-01-29,A,2205
839,1107,2025-06-12,A,2474
840,1108,2025-11-27,A,7367
841,1109,2025-11-01,A,2476
842,1110,2026-01-25,A,1660
843,1111,2025-06-07,A,11491
844,1112,2025-07-31,A,8558
845,1113,2025-10-29,A,8837
846,1114,2025-08-09,A,9670
847,1115,2025-07-31,C,2258
848,1116,2025-11-06,A,2205
849,1118,2025-08-07,A,2335
850,1119,2025-08-21,A,8611
851,1120,2025-04-29,C,2204
852,1121,2026-01-03,A,11208
853,1123,2025-03-26,A,9691
854,1124,2025-11-22,B,5516
855,1125,2025-11-15,A,5146
856,1126,2025-10-22,A,2183
857,1127,2025-04-22,A,6929
858,1128,2025-12-23,A,3381
859,1129,2025-07-23,A,9364
860,1130,2025-07-02,A,2358
861,1131,2025-07-22,A,1569
862,1132,2025-08-01,C,5444
863,1133,2025-09-30,A,2337
864,1134,2025-04-08,A,2433
865,1136,2025-12-26,A,8766
866,1137,2025-10-24,C,2572
