CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
161,BNS,316,1,3
162,BNS,318,1,1
163,BNS,331,1,1
164,BNS,331,1,1
164,BNS,303,1,2
164,BNS,305,1,3
165,BNS,318,1,1
166,IT,66,1,1
167,BNS,74,1,1
167,BNS,80,1,2
168,BNS,140,1,1
168,BNS,74,1,2
168,BNS,78,1,3
169,IT,66,1,1
170,POCSO,4,1,1
171,BNS,309,1,1
171,BNS,316,1,2
172,BNS,305,1,1
173,BNS,318,1,1
174,BNS,318,1,1
174,BNS,338,1,2
174,IT,66D,1,3
175,BNS,303,1,1
176,BNS,78,1,1
176,BNS,140,1,2
176,BNS,74,1,3
177,BNS,310,1,1
177,BNS,318,1,2
177,BNS,309,1,3
178,BNS,115,1,1
178,BNS,105,1,2
178,BNS,103,1,3
179,BNS,74,1,1
179,BNS,140,1,2
179,BNS,64,1,3
180,IT,66D,1,1
180,BNS,318,1,2
181,BNS,318,1,1
182,BNS,331,1,1
182,BNS,305,1,2
182,BNS,310,1,3
183,NDPS,21,1,1
183,EXCISE,32,1,2
183,ARMS,27,1,3
184,BNS,303,1,1
184,BNS,318,1,2
185,BNS,318,1,1
187,BNS,309,1,1
189,BNS,305,1,1
190,BNS,112,1,1
190,BNS,111,1,2
192,BNS,305,1,1
192,BNS,310,1,2
193,IT,66D,1,1
193,IT,66,1,2
193,IT,66C,1,3
194,BNS,305,1,1
195,IT,66,1,1
195,IT,66D,1,2
195,IT,66C,1,3
196,BNS,103,1,1
197,BNS,303,1,1
197,BNS,331,1,2
197,BNS,318,1,3
198,BNS,78,1,1
198,BNS,74,1,2
199,BNS,351,1,1
199,BNS,189,1,2
199,BNS,191,1,3
200,MV,185,1,1
200,MV,184,1,2
201,NDPS,8,1,1
202,BNS,310,1,1
203,BNS,316,1,1
203,BNS,318,1,2
204,MV,184,1,1
204,MV,185,1,2
205,BNS,309,1,1
206,BNS,140,1,1
206,BNS,80,1,2
206,BNS,74,1,3
207,BNS,318,1,1
207,BNS,338,1,2
207,IT,66D,1,3
208,MV,185,1,1
209,MV,185,1,1
209,MV,184,1,2
210,ARMS,27,1,1
210,NDPS,21,1,2
210,EXCISE,32,1,3
211,BNS,309,1,1
211,BNS,331,1,2
213,BNS,109,1,1
214,BNS,316,1,1
215,NDPS,20,1,1
216,BNS,338,1,1
216,IT,66D,1,2
216,BNS,318,1,3
217,BNS,105,1,1
217,BNS,115,1,2
218,BNS,318,1,1
218,BNS,309,1,2
219,ARMS,25,1,1
219,NDPS,21,1,2
220,BNS,310,1,1
220,BNS,331,1,2
222,BNS,111,1,1
223,MV,184,1,1
224,BNS,318,1,1
225,MV,184,1,1
226,BNS,318,1,1
226,BNS,310,1,2
226,BNS,305,1,3
227,BNS,305,1,1
227,BNS,310,1,2
228,BNS,310,1,1
228,BNS,316,1,2
229,BNS,303,1,1
229,BNS,316,1,2
230,ARMS,27,1,1
231,BNS,118,1,1
231,BNS,105,1,2
231,BNS,115,1,3
232,BNS,103,1,1
232,BNS,115,1,2
233,BNS,316,1,1
233,BNS,309,1,2
233,BNS,310,1,3
234,NDPS,8,1,1
235,BNS,318,1,1
235,BNS,338,1,2
236,BNS,303,1,1
236,BNS,305,1,2
237,BNS,316,1,1
237,BNS,309,1,2
237,BNS,310,1,3
238,BNS,318,1,1
238,BNS,338,1,2
241,IT,66D,1,1
242,BNS,309,1,1
242,BNS,318,1,2
243,BNS,318,1,1
243,BNS,310,1,2
243,BNS,303,1,3
244,BNS,318,1,1
245,BNS,112,1,1
246,BNS,318,1,1
246,IT,66D,1,2
247,BNS,74,1,1
248,BNS,318,1,1
248,BNS,338,1,2
249,BNS,318,1,1
250,BNS,78,1,1
250,BNS,140,1,2
250,BNS,74,1,3
251,BNS,64,1,1
251,BNS,74,1,2
251,BNS,80,1,3
252,BNS,318,1,1
252,BNS,309,1,2
252,BNS,305,1,3
253,BNS,109,1,1
254,NDPS,21,1,1
254,NDPS,20,1,2
255,EXCISE,32,1,1
256,MV,185,1,1
257,BNS,303,1,1
257,BNS,309,1,2
257,BNS,331,1,3
258,BNS,318,1,1
259,MV,185,1,1
259,MV,184,1,2
260,PC,7,1,1
261,BNS,331,1,1
262,BNS,331,1,1
263,BNS,351,1,1
264,ARMS,27,1,1
264,NDPS,20,1,2
265,BNS,309,1,1
266,BNS,118,1,1
267,BNS,305,1,1
267,BNS,318,1,2
268,BNS,338,1,1
270,BNS,318,1,1
271,IT,66,1,1
271,IT,66C,1,2
271,IT,66D,1,3
272,BNS,309,1,1
272,BNS,318,1,2
273,NDPS,20,1,1
273,ARMS,25,1,2
274,BNS,303,1,1
274,BNS,331,1,2
274,BNS,310,1,3
275,BNS,318,1,1
276,BNS,310,1,1
276,BNS,331,1,2
276,BNS,318,1,3
277,BNS,305,1,1
277,BNS,316,1,2
278,BNS,80,1,1
278,BNS,64,1,2
278,BNS,74,1,3
279,BNS,318,1,1
279,BNS,331,1,2
280,ARMS,27,1,1
280,NDPS,20,1,2
280,EXCISE,32,1,3
281,BNS,338,1,1
281,IT,66D,1,2
281,BNS,318,1,3
282,BNS,103,1,1
282,BNS,109,1,2
283,NDPS,8,1,1
283,ARMS,27,1,2
283,NDPS,21,1,3
284,BNS,331,1,1
285,BNS,316,1,1
285,BNS,309,1,2
286,BNS,78,1,1
286,BNS,85,1,2
286,BNS,64,1,3
287,BNS,309,1,1
287,BNS,318,1,2
287,BNS,316,1,3
288,BNS,316,1,1
288,BNS,331,1,2
288,BNS,318,1,3
289,BNS,305,1,1
290,IT,66D,1,1
291,POCSO,8,1,1
291,BNS,140,1,2
292,BNS,303,1,1
292,BNS,305,1,2
293,BNS,318,1,1
294,BNS,310,1,1
295,MV,185,1,1
296,MV,185,1,1
296,MV,184,1,2
297,BNS,351,1,1
298,BNS,303,1,1
298,BNS,310,1,2
299,POCSO,8,1,1
299,BNS,140,1,2
299,POCSO,4,1,3
301,IT,66D,1,1
301,BNS,318,1,2
302,NDPS,21,1,1
302,ARMS,27,1,2
303,BNS,305,1,1
303,BNS,318,1,2
304,BNS,310,1,1
305,MV,184,1,1
306,ARMS,25,1,1
307,BNS,309,1,1
307,BNS,318,1,2
308,ARMS,25,1,1
308,NDPS,8,1,2
308,NDPS,20,1,3
309,BNS,310,1,1
310,BNS,80,1,1
310,BNS,64,1,2
311,BNS,318,1,1
311,BNS,303,1,2
311,BNS,316,1,3
312,IT,66D,1,1
313,IT,66D,1,1
314,BNS,115,1,1
314,BNS,118,1,2
314,BNS,105,1,3
315,BNS,310,1,1
317,IT,66D,1,1
317,BNS,318,1,2
317,BNS,338,1,3
318,BNS,140,1,1
318,BNS,80,1,2
319,BNS,310,1,1
320,BNS,303,1,1
320,BNS,318,1,2
321,BNS,115,1,1
321,BNS,118,1,2
322,BNS,74,1,1
322,BNS,78,1,2
323,BNS,351,1,1
323,BNS,112,1,2
324,BNS,309,1,1
324,BNS,316,1,2
325,BNS,74,1,1
326,ARMS,25,1,1
326,NDPS,21,1,2
327,BNS,331,1,1
328,BNS,105,1,1
328,BNS,115,1,2
329,BNS,310,1,1
329,BNS,316,1,2
330,BNS,74,1,1
330,BNS,140,1,2
330,BNS,64,1,3
331,BNS,305,1,1
331,BNS,310,1,2
332,BNS,85,1,1
333,BNS,316,1,1
333,BNS,331,1,2
333,BNS,310,1,3
334,ARMS,27,1,1
334,ARMS,25,1,2
335,BNS,309,1,1
335,BNS,310,1,2
335,BNS,316,1,3
336,IT,66D,1,1
337,ARMS,25,1,1
338,BNS,103,1,1
338,BNS,105,1,2
339,BNS,305,1,1
339,BNS,303,1,2
339,BNS,331,1,3
340,MV,184,1,1
340,MV,185,1,2
341,NDPS,20,1,1
341,ARMS,27,1,2
341,NDPS,21,1,3
343,BNS,191,1,1
344,POCSO,8,1,1
344,POCSO,4,1,2
345,IT,66,1,1
345,IT,66C,1,2
346,ARMS,27,1,1
347,BNS,140,1,1
347,BNS,74,1,2
347,BNS,85,1,3
348,BNS,316,1,1
349,IT,66D,1,1
349,BNS,338,1,2
350,BNS,105,1,1
350,BNS,115,1,2
350,BNS,118,1,3
351,BNS,331,1,1
351,BNS,316,1,2
351,BNS,303,1,3
352,BNS,118,1,1
353,BNS,305,1,1
353,BNS,309,1,2
353,BNS,303,1,3
354,BNS,303,1,1
355,BNS,305,1,1
355,BNS,331,1,2
356,BNS,310,1,1
356,BNS,309,1,2
358,BNS,309,1,1
358,BNS,303,1,2
358,BNS,331,1,3
359,BNS,191,1,1
359,BNS,111,1,2
360,BNS,310,1,1
361,BNS,310,1,1
361,BNS,318,1,2
361,BNS,331,1,3
362,BNS,115,1,1
362,BNS,105,1,2
363,BNS,318,1,1
364,BNS,109,1,1
364,BNS,103,1,2
364,BNS,118,1,3
365,MV,184,1,1
365,MV,185,1,2
366,BNS,331,1,1
366,BNS,309,1,2
366,BNS,303,1,3
367,MV,184,1,1
367,MV,185,1,2
368,BNS,118,1,1
368,BNS,109,1,2
368,BNS,115,1,3
369,BNS,64,1,1
369,BNS,74,1,2
369,BNS,78,1,3
370,BNS,316,1,1
370,BNS,331,1,2
370,BNS,309,1,3
371,BNS,64,1,1
371,BNS,74,1,2
372,BNS,74,1,1
372,BNS,78,1,2
373,BNS,316,1,1
373,BNS,331,1,2
374,BNS,351,1,1
374,BNS,112,1,2
374,BNS,191,1,3
375,BNS,309,1,1
376,BNS,305,1,1
377,POCSO,4,1,1
377,BNS,140,1,2
377,POCSO,8,1,3
378,BNS,109,1,1
378,BNS,118,1,2
379,BNS,105,1,1
379,BNS,115,1,2
380,BNS,309,1,1
381,BNS,191,1,1
382,BNS,316,1,1
383,BNS,318,1,1
384,BNS,316,1,1
384,BNS,305,1,2
384,BNS,318,1,3
385,BNS,316,1,1
385,BNS,309,1,2
386,NDPS,20,1,1
386,ARMS,25,1,2
386,NDPS,8,1,3
387,BNS,118,1,1
387,BNS,109,1,2
388,BNS,105,1,1
389,BNS,318,1,1
389,BNS,303,1,2
390,BNS,318,1,1
390,BNS,303,1,2
391,BNS,338,1,1
391,IT,66D,1,2
392,MV,185,1,1
393,BNS,103,1,1
393,BNS,118,1,2
393,BNS,109,1,3
394,MV,185,1,1
394,MV,184,1,2
395,BNS,111,1,1
396,BNS,305,1,1
397,MV,185,1,1
397,MV,184,1,2
398,BNS,74,1,1
398,BNS,64,1,2
399,IT,66D,1,1
399,IT,66,1,2
399,IT,66C,1,3
400,BNS,303,1,1
400,BNS,309,1,2
400,BNS,331,1,3
401,MV,184,1,1
402,BNS,196,1,1
402,BNS,112,1,2
403,BNS,85,1,1
403,BNS,140,1,2
403,BNS,78,1,3
404,PC,7,1,1
405,BNS,338,1,1
405,IT,66D,1,2
406,BNS,109,1,1
407,BNS,310,1,1
407,BNS,303,1,2
407,BNS,316,1,3
408,BNS,189,1,1
408,BNS,112,1,2
408,BNS,196,1,3
409,MV,185,1,1
410,IT,66D,1,1
411,BNS,305,1,1
411,BNS,303,1,2
411,BNS,309,1,3
412,BNS,78,1,1
412,BNS,85,1,2
412,BNS,64,1,3
413,BNS,303,1,1
413,BNS,309,1,2
414,BNS,103,1,1
415,BNS,74,1,1
415,BNS,78,1,2
416,BNS,303,1,1
417,BNS,338,1,1
418,IT,66,1,1
419,BNS,318,1,1
420,POCSO,8,1,1
420,POCSO,4,1,2
420,BNS,140,1,3
421,BNS,316,1,1
421,BNS,309,1,2
422,IT,66D,1,1
422,BNS,318,1,2
422,BNS,338,1,3
423,BNS,331,1,1
423,BNS,303,1,2
424,POCSO,4,1,1
424,BNS,140,1,2
424,POCSO,8,1,3
425,BNS,191,1,1
425,BNS,111,1,2
426,BNS,112,1,1
426,BNS,351,1,2
427,IT,66,1,1
427,IT,66D,1,2
427,IT,66C,1,3
428,BNS,351,1,1
428,BNS,111,1,2
429,BNS,305,1,1
429,BNS,303,1,2
429,BNS,316,1,3
430,MV,184,1,1
431,BNS,303,1,1
431,BNS,331,1,2
432,BNS,309,1,1
433,BNS,118,1,1
433,BNS,109,1,2
434,MV,184,1,1
434,MV,185,1,2
435,BNS,78,1,1
436,BNS,331,1,1
436,BNS,303,1,2
437,ARMS,27,1,1
438,BNS,338,1,1
438,BNS,318,1,2
438,IT,66D,1,3
439,BNS,316,1,1
439,BNS,310,1,2
440,BNS,118,1,1
440,BNS,109,1,2
440,BNS,105,1,3
441,BNS,318,1,1
442,BNS,338,1,1
442,BNS,318,1,2
442,IT,66D,1,3
443,ARMS,25,1,1
443,NDPS,20,1,2
444,BNS,316,1,1
445,BNS,305,1,1
446,MV,184,1,1
447,BNS,74,1,1
448,BNS,338,1,1
448,BNS,318,1,2
448,IT,66D,1,3
449,BNS,310,1,1
449,BNS,305,1,2
450,BNS,318,1,1
450,BNS,338,1,2
451,BNS,351,1,1
452,BNS,196,1,1
452,BNS,111,1,2
454,BNS,318,1,1
455,BNS,318,1,1
455,BNS,338,1,2
456,BNS,303,1,1
456,BNS,309,1,2
457,BNS,309,1,1
458,BNS,64,1,1
458,BNS,85,1,2
459,IT,66D,1,1
459,BNS,338,1,2
459,BNS,318,1,3
460,MV,185,1,1
460,MV,184,1,2
461,BNS,85,1,1
461,BNS,80,1,2
461,BNS,78,1,3
462,BNS,109,1,1
463,MV,184,1,1
464,MV,185,1,1
465,MV,185,1,1
466,NDPS,8,1,1
467,PC,7,1,1
468,IT,66,1,1
468,IT,66D,1,2
468,IT,66C,1,3
469,BNS,196,1,1
470,BNS,105,1,1
470,BNS,115,1,2
471,BNS,196,1,1
471,BNS,189,1,2
471,BNS,111,1,3
472,BNS,85,1,1
472,BNS,74,1,2
472,BNS,140,1,3
473,BNS,331,1,1
474,BNS,331,1,1
474,BNS,303,1,2
474,BNS,316,1,3
475,BNS,305,1,1
477,BNS,310,1,1
477,BNS,305,1,2
478,BNS,115,1,1
478,BNS,103,1,2
478,BNS,109,1,3
479,BNS,316,1,1
479,BNS,331,1,2
479,BNS,310,1,3
481,NDPS,20,1,1
481,NDPS,21,1,2
481,EXCISE,32,1,3
482,MV,185,1,1
483,BNS,331,1,1
483,BNS,316,1,2
483,BNS,305,1,3
484,BNS,109,1,1
484,BNS,118,1,2
484,BNS,115,1,3
485,MV,184,1,1
485,MV,185,1,2
486,MV,185,1,1
486,MV,184,1,2
487,NDPS,20,1,1
488,BNS,318,1,1
488,BNS,331,1,2
488,BNS,305,1,3
489,MV,185,1,1
489,MV,184,1,2
490,BNS,303,1,1
490,BNS,316,1,2
490,BNS,305,1,3
491,BNS,309,1,1
492,BNS,85,1,1
493,MV,185,1,1
494,BNS,74,1,1
494,BNS,64,1,2
495,IT,66D,1,1
495,BNS,338,1,2
495,BNS,318,1,3
496,BNS,318,1,1
496,BNS,309,1,2
497,BNS,318,1,1
497,IT,66D,1,2
497,BNS,338,1,3
498,BNS,103,1,1
499,BNS,316,1,1
500,BNS,316,1,1
501,BNS,318,1,1
502,IT,66D,1,1
502,BNS,338,1,2
503,BNS,309,1,1
503,BNS,331,1,2
503,BNS,316,1,3
504,BNS,305,1,1
504,BNS,310,1,2
504,BNS,309,1,3
505,BNS,191,1,1
505,BNS,189,1,2
505,BNS,111,1,3
506,BNS,338,1,1
506,IT,66D,1,2
506,BNS,318,1,3
507,BNS,64,1,1
507,BNS,85,1,2
508,ARMS,25,1,1
508,EXCISE,32,1,2
508,NDPS,20,1,3
509,BNS,64,1,1
510,MV,185,1,1
511,BNS,303,1,1
512,NDPS,20,1,1
513,BNS,305,1,1
513,BNS,303,1,2
513,BNS,316,1,3
514,BNS,303,1,1
514,BNS,331,1,2
514,BNS,310,1,3
515,BNS,140,1,1
515,POCSO,8,1,2
516,IT,66D,1,1
516,IT,66,1,2
517,BNS,316,1,1
518,BNS,318,1,1
519,IT,66C,1,1
519,IT,66D,1,2
520,BNS,305,1,1
521,MV,185,1,1
521,MV,184,1,2
522,NDPS,8,1,1
523,BNS,303,1,1
523,BNS,309,1,2
523,BNS,310,1,3
524,BNS,316,1,1
525,BNS,318,1,1
526,EXCISE,32,1,1
526,ARMS,27,1,2
527,BNS,103,1,1
527,BNS,115,1,2
528,BNS,338,1,1
528,IT,66D,1,2
529,BNS,105,1,1
529,BNS,103,1,2
530,BNS,303,1,1
531,BNS,64,1,1
531,BNS,140,1,2
532,MV,185,1,1
532,MV,184,1,2
533,BNS,105,1,1
534,BNS,309,1,1
534,BNS,310,1,2
535,BNS,310,1,1
536,BNS,303,1,1
537,MV,185,1,1
537,MV,184,1,2
538,BNS,351,1,1
538,BNS,111,1,2
539,BNS,115,1,1
539,BNS,105,1,2
540,MV,185,1,1
540,MV,184,1,2
541,BNS,316,1,1
541,BNS,303,1,2
542,MV,184,1,1
542,MV,185,1,2
543,MV,184,1,1
544,BNS,115,1,1
545,BNS,191,1,1
546,BNS,118,1,1
547,ARMS,27,1,1
548,ARMS,27,1,1
548,NDPS,8,1,2
548,NDPS,21,1,3
549,BNS,196,1,1
549,BNS,112,1,2
549,BNS,189,1,3
550,BNS,331,1,1
550,BNS,303,1,2
551,BNS,318,1,1
551,BNS,310,1,2
551,BNS,331,1,3
552,BNS,318,1,1
552,BNS,338,1,2
553,BNS,338,1,1
553,IT,66D,1,2
554,BNS,318,1,1
555,IT,66,1,1
555,IT,66D,1,2
556,BNS,318,1,1
556,BNS,310,1,2
557,MV,184,1,1
557,MV,185,1,2
558,BNS,351,1,1
558,BNS,196,1,2
558,BNS,112,1,3
559,BNS,305,1,1
559,BNS,331,1,2
560,BNS,78,1,1
561,BNS,310,1,1
561,BNS,305,1,2
562,BNS,189,1,1
562,BNS,111,1,2
562,BNS,351,1,3
563,NDPS,8,1,1
563,EXCISE,32,1,2
564,NDPS,20,1,1
564,NDPS,21,1,2
565,MV,185,1,1
565,MV,184,1,2
566,MV,185,1,1
567,BNS,78,1,1
567,BNS,64,1,2
568,BNS,80,1,1
569,BNS,118,1,1
569,BNS,103,1,2
569,BNS,109,1,3
570,NDPS,21,1,1
570,NDPS,8,1,2
571,IT,66D,1,1
571,BNS,318,1,2
572,BNS,310,1,1
573,BNS,316,1,1
574,BNS,318,1,1
574,BNS,303,1,2
575,BNS,318,1,1
576,BNS,318,1,1
576,BNS,338,1,2
577,BNS,331,1,1
577,BNS,310,1,2
577,BNS,316,1,3
578,BNS,303,1,1
578,BNS,310,1,2
579,BNS,191,1,1
579,BNS,112,1,2
579,BNS,196,1,3
580,NDPS,21,1,1
581,MV,185,1,1
581,MV,184,1,2
582,BNS,316,1,1
582,BNS,318,1,2
583,BNS,331,1,1
583,BNS,309,1,2
583,BNS,303,1,3
584,POCSO,8,1,1
585,NDPS,8,1,1
586,BNS,109,1,1
586,BNS,118,1,2
587,BNS,310,1,1
587,BNS,305,1,2
587,BNS,309,1,3
588,BNS,331,1,1
588,BNS,310,1,2
588,BNS,303,1,3
589,BNS,189,1,1
590,BNS,305,1,1
590,BNS,316,1,2
590,BNS,303,1,3
591,BNS,115,1,1
591,BNS,109,1,2
592,BNS,118,1,1
593,BNS,331,1,1
593,BNS,303,1,2
593,BNS,305,1,3
594,BNS,310,1,1
594,BNS,303,1,2
595,BNS,338,1,1
596,BNS,105,1,1
596,BNS,103,1,2
596,BNS,109,1,3
597,BNS,109,1,1
598,MV,184,1,1
598,MV,185,1,2
599,MV,185,1,1
600,BNS,303,1,1
600,BNS,316,1,2
601,BNS,331,1,1
601,BNS,303,1,2
602,BNS,109,1,1
603,BNS,331,1,1
604,BNS,118,1,1
606,BNS,331,1,1
606,BNS,305,1,2
606,BNS,310,1,3
607,BNS,115,1,1
607,BNS,109,1,2
607,BNS,105,1,3
608,NDPS,21,1,1
609,BNS,331,1,1
610,BNS,310,1,1
610,BNS,318,1,2
611,IT,66,1,1
612,BNS,85,1,1
613,BNS,305,1,1
613,BNS,303,1,2
614,BNS,109,1,1
614,BNS,118,1,2
616,BNS,316,1,1
616,BNS,303,1,2
616,BNS,310,1,3
617,BNS,140,1,1
617,BNS,80,1,2
617,BNS,85,1,3
618,BNS,331,1,1
619,NDPS,8,1,1
619,NDPS,20,1,2
620,BNS,309,1,1
620,BNS,310,1,2
621,BNS,309,1,1
622,IT,66,1,1
622,IT,66C,1,2
622,IT,66D,1,3
623,IT,66C,1,1
623,IT,66,1,2
624,BNS,309,1,1
624,BNS,303,1,2
624,BNS,316,1,3
625,EXCISE,32,1,1
625,ARMS,27,1,2
626,BNS,305,1,1
627,IT,66D,1,1
627,BNS,338,1,2
627,BNS,318,1,3
630,BNS,189,1,1
631,BNS,74,1,1
631,BNS,78,1,2
632,MV,184,1,1
